Date,Open,High,Low,Close,Adj Close,Volume
2014-08-01,0.010000,1.000000,0.010000,0.444000,0.444000,29700
2014-08-04,0.440000,0.600000,0.210000,0.440000,0.440000,44200
2014-08-05,0.440000,0.750000,0.440000,0.600000,0.600000,34400
2014-08-06,0.540000,0.700000,0.500000,0.540000,0.540000,56300
2014-08-07,0.540000,0.540000,0.330000,0.390000,0.390000,26300
2014-08-08,0.390000,0.590000,0.390000,0.410000,0.410000,15500
2014-08-11,0.410000,0.410000,0.410000,0.410000,0.410000,5700
2014-08-12,0.410000,0.490000,0.320000,0.320000,0.320000,57300
2014-08-13,0.350000,0.350000,0.180000,0.200000,0.200000,241900
2014-08-14,0.150000,0.200000,0.150000,0.200000,0.200000,159000
2014-08-15,0.250000,0.250000,0.130000,0.130000,0.130000,67700
2014-08-18,0.150000,0.200000,0.100000,0.140000,0.140000,152600
2014-08-19,0.100000,0.198000,0.100000,0.180000,0.180000,130600
2014-08-20,0.100000,0.150000,0.100000,0.130000,0.130000,39900
2014-08-21,0.112000,0.130000,0.112000,0.113000,0.113000,46700
2014-08-22,0.110000,0.180000,0.110000,0.170000,0.170000,75000
2014-08-25,0.170000,0.243000,0.141000,0.230000,0.230000,65200
2014-08-26,0.150000,0.240000,0.150000,0.230000,0.230000,79000
2014-08-27,0.230000,0.230000,0.180000,0.180000,0.180000,147900
2014-08-28,0.235000,0.235000,0.180000,0.200000,0.200000,30700
2014-08-29,0.200000,0.200000,0.167000,0.189000,0.189000,59800
2014-09-02,0.180000,0.200000,0.177000,0.177000,0.177000,115200
2014-09-03,0.177000,0.185000,0.176000,0.179000,0.179000,141500
2014-09-04,0.170000,0.175000,0.167000,0.167000,0.167000,58900
2014-09-05,0.170000,0.175000,0.165000,0.175000,0.175000,109700
2014-09-08,0.168000,0.180000,0.168000,0.173000,0.173000,129500
2014-09-09,0.173000,0.173000,0.167000,0.167000,0.167000,22600
2014-09-10,0.173000,0.173000,0.140000,0.143000,0.143000,87500
2014-09-11,0.141000,0.146000,0.141000,0.146000,0.146000,25000
2014-09-12,0.150000,0.150000,0.144000,0.144000,0.144000,23500
2014-09-15,0.144000,0.144000,0.140000,0.140000,0.140000,28600
2014-09-16,0.110000,0.145000,0.110000,0.130000,0.130000,76000
2014-09-17,0.129000,0.135000,0.125000,0.131000,0.131000,100500
2014-09-18,0.129000,0.130000,0.125000,0.130000,0.130000,104400
2014-09-19,0.130000,0.133000,0.115000,0.133000,0.133000,71500
2014-09-22,0.116000,0.138000,0.116000,0.138000,0.138000,140300
2014-09-23,0.135000,0.135000,0.120000,0.120000,0.120000,6400
2014-09-24,0.120000,0.135000,0.120000,0.121000,0.121000,36100
2014-09-25,0.130000,0.130000,0.116000,0.116000,0.116000,36000
2014-09-26,0.115000,0.127000,0.100000,0.103000,0.103000,30700
2014-09-29,0.115000,0.115000,0.100000,0.100000,0.100000,30100
2014-09-30,0.100000,0.110000,0.094000,0.110000,0.110000,135400
2014-10-01,0.100000,0.110000,0.065000,0.094000,0.094000,254600
2014-10-02,0.070000,0.094000,0.060000,0.075000,0.075000,165100
2014-10-03,0.075000,0.080000,0.070000,0.080000,0.080000,66700
2014-10-06,0.085000,0.105000,0.085000,0.105000,0.105000,109100
2014-10-07,0.091000,0.120000,0.091000,0.095000,0.095000,96000
2014-10-08,0.093000,0.120000,0.093000,0.105000,0.105000,39300
2014-10-09,0.105000,0.115000,0.100000,0.100000,0.100000,126200
