Date,Open,High,Low,Close,Adj Close,Volume
2007-11-12,2045.209961,2065.159912,1696.030029,2045.209961,1685.777344,749219071
2007-11-13,2194.860107,2194.860107,1995.329956,2020.270020,1665.220093,161219694
2007-11-14,2020.270020,2070.149902,1995.329956,2020.270020,1665.220093,47492467
2007-11-15,2020.270020,2045.209961,1970.390015,2020.270020,1665.220093,66480834
2007-11-16,1995.329956,1995.329956,1970.390015,1995.329956,1644.663330,20621683
2007-11-19,1995.329956,1995.329956,1970.390015,1970.390015,1624.106323,20675810
2007-11-20,1970.390015,1965.400024,1925.489990,1965.400024,1619.993286,39866148
2007-11-21,1965.400024,1965.400024,1825.719971,1835.699951,1513.087280,41200767
2007-11-22,1845.680054,1885.579956,1795.790039,1845.680054,1521.313354,20768526
2007-11-23,1845.680054,1865.630005,1835.699951,1845.680054,1521.313354,5010206
2007-11-26,1865.630005,1995.329956,1865.630005,1955.420044,1611.767456,42163516
2007-11-27,1935.469971,1955.420044,1915.510010,1935.469971,1595.323364,9358366
2007-11-28,1925.489990,1955.420044,1915.510010,1925.489990,1587.097290,7958595
2007-11-29,1925.489990,1985.349976,1925.489990,1925.489990,1587.097290,30617038
2007-11-30,1925.489990,1945.439941,1915.510010,1925.489990,1587.097290,11914839
2007-12-03,1925.489990,1945.439941,1915.510010,1925.489990,1587.097290,12038127
2007-12-04,1965.400024,1975.369995,1925.489990,1965.400024,1619.993286,25553206
2007-12-05,2025.260010,2025.260010,1955.420044,2025.260010,1669.333252,60521410
2007-12-06,2020.270020,2045.209961,1970.390015,2020.270020,1665.220093,12741270
2007-12-07,1970.390015,2020.270020,1945.439941,1970.390015,1624.106323,7676436
2007-12-10,1935.469971,1985.349976,1915.510010,1935.469971,1595.323364,20273369
2007-12-11,1945.439941,1955.420044,1935.469971,1945.439941,1603.541260,10084062
2007-12-12,1945.439941,1955.420044,1935.469971,1945.439941,1603.541260,10161242
2007-12-13,1935.469971,1945.439941,1935.469971,1935.469971,1595.323364,9515233
2007-12-14,1935.469971,1945.439941,1915.510010,1925.489990,1587.097290,7629326
2007-12-17,1915.510010,1915.510010,1885.579956,1905.540039,1570.653320,10299064
2007-12-18,1885.579956,1905.540039,1875.609985,1905.540039,1570.653320,2677255
2007-12-19,1905.540039,1905.540039,1885.579956,1905.540039,1570.653320,1655368
2007-12-26,1935.469971,1945.439941,1915.510010,1915.510010,1578.871216,711162
